Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0002,W,W,W,W,T,T,T,T,N,N,N,N
MB0003,W,W,W,W,2,2,2,2,N,N,N,N
MB0004,R,R,R,R,P,P,NA,P,A,A,A,A
MB0005,R,R,R,R,P,P,P,P,A,A,A,A
MB0006,NA,NA,NA,NA,T,T,P,T,N,A,A,A
MB0008,NA,NA,NA,NA,2,2,P,P,N,A,N,A
MB0009,NA,NA,NA,W,T,NA,T,P,N,NA,N,N
MB0010,W,W,W,NA,P,P,P,P,N,N,N,N
MB0011,NA,NA,NA,R,P,P,P,P,N,N,N,N
MB0012,R,R,R,NA,P,P,P,NA,N,N,N,NA
MB0013,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0014,R,NA,R,NA,NA,NA,T,NA,N,NA,N,NA
MB0015,Y,NA,Y,Y,T,NA,T,T,N,NA,N,N
MB0016,W,W,W,W,T,T,T,T,N,N,A,N
MB0017,NA,NA,NA,NA,P,P,P,P,A,A,A,A
MB0018,R,R,R,R,P,P,P,P,N,N,N,N
MB0019,Y,Y,Y,Y,2,2,T,T,A,A,A,A
MB0020,Y,NA,NA,Y,P,P,P,P,N,N,N,N
MB0021,Y,Y,Y,Y,P,P,P,P,N,N,N,N
MB0022,R,R,R,R,P,P,P,P,N,N,N,NA
MB0023,NA,NA,W,NA,NA,NA,P,NA,NA,NA,A,NA
MB0024,W,W,NA,Y,P,P,P,P,N,N,N,N
MB0025,Y,NA,Y,Y,P,NA,P,P,N,NA,N,N
MB0026,Y,Y,Y,Y,P,P,P,T,N,N,N,N
MB0027,R,R,R,R,P,NA,T,P,N,N,N,N
MB0028,R,R,R,Y,P,P,P,P,N,N,N,N
MB0029,Y,Y,Y,Y,P,P,T,NA,N,N,N,N
MB0030,Y,Y,Y,Y,T,T,T,P,NA,N,N,N
MB0031,Y,NA,NA,W,T,T,T,T,A,A,A,A
MB0032,W,W,W,W,P,P,P,P,A,A,A,A
MB0033,R,NA,R,R,P,NA,P,P,A,NA,A,A
MB0035,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0037,W,W,W,W,P,P,P,P,A,A,A,A
MB0038,Y,Y,Y,Y,P,P,P,P,N,N,N,N
