id,BTXARG1_1,SC630_1,SC0605_1,BTX642_1
MB0002,1,2,3,4
MB0240,1,2,3,4
MB0285,1,2,3,4
MB0197,1,2,3,4
MB0099,1,2,3,4
MB0194,1,2,3,4
MB0283,1,2,3,4
MB0229,1,2,3,4
MB0141,1,2,3,4
MB0033,1,2,3,4
MB0049,1,2,3,4
MB0153,1,2,3,4
MB0013,1,2,3,4
MB0250,1,2,3,4
MB0275,1,2,3,4
MB0185,1,2,3,4
MB0109,1,2,3,4
MB0205,1,2,3,4
MB0295,1,2,3,4
MB0217,1,2,3,4
MB0125,1,2,3,4
MB0023,1,2,3,4
MB0163,1,2,3,4
MB0260,1,2,3,4
MB0261,1,2,3,4
MB0175,1,2,3,4
MB0124,1,2,3,4
MB0215,1,2,3,4
MB0296,1,2,3,4
MB0207,1,2,3,4
MB0110,1,2,3,4
MB0014,1,2,3,4
MB0081,1,2,3,4
MB0032,1,2,3,4
MB0274,1,2,3,4
MB0251,1,2,3,4
MB0164,1,2,3,4
MB0140,1,2,3,4
MB0228,1,2,3,4
MB0195,1,2,3,4
MB0100,1,2,3,4
MB0003,1,2,3,4
MB0091,1,2,3,4
MB0183,1,2,3,4
MB0045,1,2,3,4
MB0284,1,2,3,4
MB0241,1,2,3,4
MB0154,1,2,3,4
MB0151,1,2,3,4
MB0238,1,2,3,4
MB0273,1,2,3,4
MB0182,1,2,3,4
MB0090,1,2,3,4
MB0004,1,2,3,4
MB0196,1,2,3,4
MB0061,1,2,3,4
MB0299,1,2,3,4
MB0231,1,2,3,4
MB0143,1,2,3,4
MB0162,1,2,3,4
MB0248,1,2,3,4
MB0259,1,2,3,4
MB0173,1,2,3,4
MB0080,1,2,3,4
MB0015,1,2,3,4
MB0111,1,2,3,4
MB0208,1,2,3,4
MB0075,1,2,3,4
MB0005,1,2,3,4
MB0219,1,2,3,4
MB0172,1,2,3,4
MB0258,1,2,3,4
MB0249,1,2,3,4
MB0062,1,2,3,4
MB0024,1,2,3,4
MB0126,1,2,3,4
MB0218,1,2,3,4
MB0089,1,2,3,4
MB0300,1,2,3,4
MB0181,1,2,3,4
MB0270,1,2,3,4
MB0239,1,2,3,4
MB0152,1,2,3,4
MB0046,1,2,3,4
MB0035,1,2,3,4
MB0142,1,2,3,4
MB0230,1,2,3,4
MB0101,1,2,3,4
MB0147,1,2,3,4
MB0234,1,2,3,4
MB0020,1,2,3,4
MB0006,1,2,3,4
MB0102,1,2,3,4
MB0198,1,2,3,4
MB0288,1,2,3,4
MB0263,1,2,3,4
MB0177,1,2,3,4
MB0085,1,2,3,4
MB0041,1,2,3,4
MB0092,1,2,3,4
MB0158,1,2,3,4
MB0010,1,2,3,4
MB0017,1,2,3,4
MB0118,1,2,3,4
MB0209,1,2,3,4
MB0253,1,2,3,4
MB0167,1,2,3,4
MB0066,1,2,3,4
MB0053,1,2,3,4
MB0082,1,2,3,4
MB0168,1,2,3,4
MB0254,1,2,3,4
MB0304,1,2,3,4
MB0026,1,2,3,4
MB0127,1,2,3,4
MB0220,1,2,3,4
MB0301,1,2,3,4
MB0243,1,2,3,4
MB0156,1,2,3,4
MB0052,1,2,3,4
MB0071,1,2,3,4
MB0063,1,2,3,4
MB0178,1,2,3,4
MB0265,1,2,3,4
MB0291,1,2,3,4
MB0038,1,2,3,4
MB0144,1,2,3,4
MB0232,1,2,3,4
MB0018,1,2,3,4
MB0233,1,2,3,4
MB0146,1,2,3,4
MB0040,1,2,3,4
MB0086,1,2,3,4
MB0050,1,2,3,4
MB0190,1,2,3,4
MB0278,1,2,3,4
MB0279,1,2,3,4
MB0051,1,2,3,4
MB0155,1,2,3,4
MB0242,1,2,3,4
MB0008,1,2,3,4
MB0223,1,2,3,4
MB0130,1,2,3,4
MB0027,1,2,3,4
MB0095,1,2,3,4
MB0037,1,2,3,4
